km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_brand,car_age,price
145.5,Diesel,Individual,Manual,First_Owner,23.4,1.248,74.0,5.0,Domestic,6,4.5
120.0,Diesel,Individual,Manual,Second_Owner,21.14,1.498,103.52,5.0,International,6,3.7
140.0,Petrol,Individual,Manual,>Two_Owners,17.7,1.497,78.0,5.0,International,14,1.58
127.0,Diesel,Individual,Manual,First_Owner,23.0,1.396,90.0,5.0,International,10,2.25
120.0,Petrol,Individual,Manual,First_Owner,16.1,1.298,88.2,5.0,Domestic,13,1.3
45.0,Petrol,Individual,Manual,First_Owner,20.14,1.197,81.86,5.0,International,3,4.4
175.0,LPG,Individual,Manual,First_Owner,17.3,1.061,57.5,5.0,Domestic,13,0.96
5.0,Petrol,Individual,Manual,Second_Owner,16.1,0.796,37.0,4.0,Domestic,19,0.45
90.0,Diesel,Individual,Manual,First_Owner,23.59,1.364,67.1,5.0,International,9,3.5
169.0,Diesel,Individual,Manual,First_Owner,20.0,1.399,68.1,5.0,International,7,2.0
68.0,Diesel,Individual,Manual,Second_Owner,19.01,1.461,108.45,5.0,International,6,5.0
100.0,Petrol,Individual,Manual,Second_Owner,17.3,0.993,60.0,5.0,Domestic,15,0.92
140.0,Diesel,Individual,Manual,Second_Owner,19.3,1.248,73.9,5.0,Domestic,11,2.8
90.0,Petrol,Individual,Manual,Second_Owner,18.9,1.061,67.0,5.0,Domestic,11,1.8
40.0,Petrol,Individual,Manual,First_Owner,18.15,1.198,82.0,5.0,Domestic,4,4.0
70.0,Diesel,Individual,Manual,Second_Owner,24.52,1.248,88.5,7.0,Domestic,4,7.78
53.0,Diesel,Individual,Manual,Second_Owner,23.0,1.396,90.0,5.0,International,8,5.0
80.0,Petrol,Individual,Manual,Second_Owner,19.7,0.796,46.3,5.0,Domestic,18,1.5
100.0,Diesel,Individual,Manual,First_Owner,22.54,1.396,88.73,5.0,International,4,6.8
100.0,Diesel,Individual,Manual,Second_Owner,21.0,1.461,64.1,5.0,Domestic,9,1.74
50.0,Diesel,Individual,Manual,First_Owner,25.5,1.498,98.6,5.0,International,3,9.5
40.0,Diesel,Individual,Manual,First_Owner,26.59,1.248,74.0,5.0,Domestic,5,5.25
72.0,Diesel,Individual,Manual,First_Owner,21.5,1.248,88.8,5.0,Domestic,8,6.0
35.0,Petrol,Individual,Manual,First_Owner,20.3,1.199,83.81,5.0,Domestic,2,5.0
45.0,Petrol,Individual,Manual,First_Owner,21.4,1.197,83.1,5.0,Domestic,4,5.75
28.0,Petrol,Individual,Manual,First_Owner,24.7,0.796,47.3,5.0,Domestic,3,2.75
70.0,Diesel,Individual,Manual,First_Owner,18.2,1.248,73.8,7.0,International,7,3.0
120.0,Petrol,Individual,Manual,First_Owner,18.9,1.061,67.0,5.0,Domestic,11,2.2
25.0,Petrol,Individual,Manual,First_Owner,16.8,0.796,34.2,8.0,Domestic,2,2.54999
70.0,Diesel,Individual,Manual,First_Owner,24.3,1.248,88.5,5.0,Domestic,3,6.7
35.0,Petrol,Individual,Manual,Second_Owner,14.0,0.796,35.0,5.0,Domestic,8,1.5
2.388,Petrol,Individual,Manual,First_Owner,18.6,1.197,81.83,5.0,International,2,7.3
